Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,Location,Bin name,On hand (current),On hand (new)
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Adult Small,,,,,CONFIGURATOR-BASKETBALL-JERSEY-ADULT-SMALL,1000 Brickell Avenue,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Adult Small,,,,,CONFIGURATOR-BASKETBALL-JERSEY-ADULT-SMALL,Henry H Filer Middle School,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Adult Small,,,,,CONFIGURATOR-BASKETBALL-JERSEY-ADULT-SMALL,Rockway Middle School,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Adult Small,,,,,CONFIGURATOR-BASKETBALL-JERSEY-ADULT-SMALL,Shenandoah Middle School,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Adult Small,,,,,CONFIGURATOR-BASKETBALL-JERSEY-ADULT-SMALL,True North Classical Academy,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Adult Medium,,,,,CONFIGURATOR-BASKETBALL-JERSEY-ADULT-MEDIUM,1000 Brickell Avenue,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Adult Medium,,,,,CONFIGURATOR-BASKETBALL-JERSEY-ADULT-MEDIUM,Henry H Filer Middle School,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Adult Medium,,,,,CONFIGURATOR-BASKETBALL-JERSEY-ADULT-MEDIUM,Rockway Middle School,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Adult Medium,,,,,CONFIGURATOR-BASKETBALL-JERSEY-ADULT-MEDIUM,Shenandoah Middle School,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Adult Medium,,,,,CONFIGURATOR-BASKETBALL-JERSEY-ADULT-MEDIUM,True North Classical Academy,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Adult Large,,,,,CONFIGURATOR-BASKETBALL-JERSEY-ADULT-LARGE,1000 Brickell Avenue,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Adult Large,,,,,CONFIGURATOR-BASKETBALL-JERSEY-ADULT-LARGE,Henry H Filer Middle School,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Adult Large,,,,,CONFIGURATOR-BASKETBALL-JERSEY-ADULT-LARGE,Rockway Middle School,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Adult Large,,,,,CONFIGURATOR-BASKETBALL-JERSEY-ADULT-LARGE,Shenandoah Middle School,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Adult Large,,,,,CONFIGURATOR-BASKETBALL-JERSEY-ADULT-LARGE,True North Classical Academy,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Adult X-Large,,,,,CONFIGURATOR-BASKETBALL-JERSEY-ADULT-X-LARGE,1000 Brickell Avenue,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Adult X-Large,,,,,CONFIGURATOR-BASKETBALL-JERSEY-ADULT-X-LARGE,Henry H Filer Middle School,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Adult X-Large,,,,,CONFIGURATOR-BASKETBALL-JERSEY-ADULT-X-LARGE,Rockway Middle School,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Adult X-Large,,,,,CONFIGURATOR-BASKETBALL-JERSEY-ADULT-X-LARGE,Shenandoah Middle School,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Adult X-Large,,,,,CONFIGURATOR-BASKETBALL-JERSEY-ADULT-X-LARGE,True North Classical Academy,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Adult 2XL,,,,,CONFIGURATOR-BASKETBALL-JERSEY-ADULT-2XL,1000 Brickell Avenue,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Adult 2XL,,,,,CONFIGURATOR-BASKETBALL-JERSEY-ADULT-2XL,Henry H Filer Middle School,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Adult 2XL,,,,,CONFIGURATOR-BASKETBALL-JERSEY-ADULT-2XL,Rockway Middle School,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Adult 2XL,,,,,CONFIGURATOR-BASKETBALL-JERSEY-ADULT-2XL,Shenandoah Middle School,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Adult 2XL,,,,,CONFIGURATOR-BASKETBALL-JERSEY-ADULT-2XL,True North Classical Academy,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Adult 3XL,,,,,CONFIGURATOR-BASKETBALL-JERSEY-ADULT-3XL,1000 Brickell Avenue,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Adult 3XL,,,,,CONFIGURATOR-BASKETBALL-JERSEY-ADULT-3XL,Henry H Filer Middle School,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Adult 3XL,,,,,CONFIGURATOR-BASKETBALL-JERSEY-ADULT-3XL,Rockway Middle School,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Adult 3XL,,,,,CONFIGURATOR-BASKETBALL-JERSEY-ADULT-3XL,Shenandoah Middle School,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Adult 3XL,,,,,CONFIGURATOR-BASKETBALL-JERSEY-ADULT-3XL,True North Classical Academy,,,9999999
configurator-basketball-top-long,Basketball Jersey Top And Long Shorts,Size,Youth Small,,,,,CONFIGURATOR-BASKETBALL-TOP-LONG-YOUTH-SMALL,1000 Brickell Avenue,,,9999999
configurator-basketball-top-long,Basketball Jersey Top And Long Shorts,Size,Youth Small,,,,,CONFIGURATOR-BASKETBALL-TOP-LONG-YOUTH-SMALL,Henry H Filer Middle School,,,9999999
configurator-basketball-top-long,Basketball Jersey Top And Long Shorts,Size,Youth Small,,,,,CONFIGURATOR-BASKETBALL-TOP-LONG-YOUTH-SMALL,Rockway Middle School,,,9999999
configurator-basketball-top-long,Basketball Jersey Top And Long Shorts,Size,Youth Small,,,,,CONFIGURATOR-BASKETBALL-TOP-LONG-YOUTH-SMALL,Shenandoah Middle School,,,9999999
configurator-basketball-top-long,Basketball Jersey Top And Long Shorts,Size,Youth Small,,,,,CONFIGURATOR-BASKETBALL-TOP-LONG-YOUTH-SMALL,True North Classical Academy,,,9999999
configurator-basketball-top-long,Basketball Jersey Top And Long Shorts,Size,Youth Medium,,,,,CONFIGURATOR-BASKETBALL-TOP-LONG-YOUTH-MEDIUM,1000 Brickell Avenue,,,9999999
configurator-basketball-top-long,Basketball Jersey Top And Long Shorts,Size,Youth Medium,,,,,CONFIGURATOR-BASKETBALL-TOP-LONG-YOUTH-MEDIUM,Henry H Filer Middle School,,,9999999
configurator-basketball-top-long,Basketball Jersey Top And Long Shorts,Size,Youth Medium,,,,,CONFIGURATOR-BASKETBALL-TOP-LONG-YOUTH-MEDIUM,Rockway Middle School,,,9999999
configurator-basketball-top-long,Basketball Jersey Top And Long Shorts,Size,Youth Medium,,,,,CONFIGURATOR-BASKETBALL-TOP-LONG-YOUTH-MEDIUM,Shenandoah Middle School,,,9999999
configurator-basketball-top-long,Basketball Jersey Top And Long Shorts,Size,Youth Medium,,,,,CONFIGURATOR-BASKETBALL-TOP-LONG-YOUTH-MEDIUM,True North Classical Academy,,,9999999
configurator-basketball-top-long,Basketball Jersey Top And Long Shorts,Size,Youth Large,,,,,CONFIGURATOR-BASKETBALL-TOP-LONG-YOUTH-LARGE,1000 Brickell Avenue,,,9999999
configurator-basketball-top-long,Basketball Jersey Top And Long Shorts,Size,Youth Large,,,,,CONFIGURATOR-BASKETBALL-TOP-LONG-YOUTH-LARGE,Henry H Filer Middle School,,,9999999
