Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Activity (product.metafields.shopify.activity),Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Neckline (product.metafields.shopify.neckline),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
face-mask-ski-mask-bc-0135,Face Mask / Ski Mask- BC-0135,"",Besu Customs,Apparel & Accessories > Clothing Accessories > Fashion Face Masks,Sports Accessories,Face Masks/ Ski Masks,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_face_ski_mask_0011.jpg?v=1755911122,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
face-mask-ski-mask-bc-0134,Face Mask / Ski Mask- BC-0134,"",Besu Customs,Apparel & Accessories > Clothing Accessories > Fashion Face Masks,Sports Accessories,Face Masks/ Ski Masks,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_face_ski_mask_0010.jpg?v=1755909492,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
face-mask-ski-mask-bc-0133,Face Mask / Ski Mask- BC-0133,"",Besu Customs,Apparel & Accessories > Clothing Accessories > Fashion Face Masks,Sports Accessories,Face Masks/ Ski Masks,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_face_ski_mask_009.jpg?v=1755792099,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
face-mask-ski-mask-bc-0132,Face Mask / Ski Mask- BC-0132,"",Besu Customs,Apparel & Accessories > Clothing Accessories > Balaclavas,Sports Accessories,Face Masks/ Ski Masks,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_face_ski_mask_008.jpg?v=1755215580,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
face-mask-ski-mask-bc-0131,Face Mask / Ski Mask- BC-0131,"",Besu Customs,Apparel & Accessories > Clothing Accessories > Fashion Face Masks,Sports Accessories,Face Masks/ Ski Masks,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_face_ski_mask_007.jpg?v=1755215163,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
face-mask-ski-mask-bc-0130,Face Mask / Ski Mask- BC-0130,"",Besu Customs,Apparel & Accessories > Clothing Accessories > Balaclavas,Sports Accessories,Face Masks/ Ski Masks,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_face_ski_mask_006.jpg?v=1755214904,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
face-mask-ski-mask-bc-0129,Face Mask / Ski Mask- BC-0129,"",Besu Customs,Apparel & Accessories > Clothing Accessories > Fashion Face Masks,Sports Accessories,Face Masks/ Ski Masks,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_face_ski_mask_005.jpg?v=1755214440,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
face-mask-ski-mask-bc-0128,Face Mask / Ski Mask- BC-0128,"",Besu Customs,Apparel & Accessories > Clothing Accessories > Fashion Face Masks,Sports Accessories,Face Masks/ Ski Masks,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_face_ski_mask_004.jpg?v=1755214251,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
face-mask-ski-mask-bc-0127,Face Mask / Ski Mask- BC-0127,"",Besu Customs,Apparel & Accessories > Clothing Accessories > Balaclavas,Sports Accessories,Face Masks/ Ski Masks,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_face_ski_mask_003.jpg?v=1755213535,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
face-mask-ski-mask-bc-0126,Face Mask / Ski Mask- BC-0126,"",Besu Customs,Apparel & Accessories > Clothing Accessories > Fashion Face Masks,Sports Accessories,Face Masks/ Ski Masks,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_face_ski_mask_002.jpg?v=1755213357,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
face-mask-ski-mask-bc-0125,Face Mask / Ski Mask- BC-0125,"",Besu Customs,Apparel & Accessories > Clothing Accessories > Fashion Face Masks,Sports Accessories,Face Masks/ Ski Masks,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_face_ski_mask_001.jpg?v=1755212860,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
cycling-gloves-bc-0124,Cycling Gloves- BC-0124,"",Besu Customs,Sporting Goods > Outdoor Recreation > Cycling > Cycling Apparel & Accessories > Bicycle Gloves,Cycling Gloves,Gloves,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_cyc_glv_0013.jpg?v=1755020594,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
cycling-gloves-bc-0123,Cycling Gloves- BC-0123,"",Besu Customs,Sporting Goods > Outdoor Recreation > Cycling > Cycling Apparel & Accessories > Bicycle Gloves,Cycling Gloves,Gloves,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_cyc_glv_0012.jpg?v=1755020408,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
cycling-gloves-bc-0122,Cycling Gloves- BC-0122,"",Besu Customs,Sporting Goods > Outdoor Recreation > Cycling > Cycling Apparel & Accessories > Bicycle Gloves,Cycling Gloves,Gloves,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_cyc_glv_0011.jpg?v=1755020130,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
cycling-gloves-bc-0121,Cycling Gloves- BC-0121,"",Besu Customs,Sporting Goods > Outdoor Recreation > Cycling > Cycling Apparel & Accessories > Bicycle Gloves,Cycling Gloves,Gloves,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_cyc_glv_0010.jpg?v=1755014823,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
cycling-gloves-bc-0120,Cycling Gloves- BC-0120,"",Besu Customs,Sporting Goods > Outdoor Recreation > Cycling > Cycling Apparel & Accessories > Bicycle Gloves,Cycling Gloves,Gloves,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_cyc_glv_009.jpg?v=1754928016,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
cycling-gloves-bc-0119,Cycling Gloves- BC-0119,"",Besu Customs,Sporting Goods > Outdoor Recreation > Cycling > Cycling Apparel & Accessories > Bicycle Gloves,Cycling Gloves,Gloves,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_cyc_glv_008.jpg?v=1754927081,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
cycling-gloves-bc-0118,Cycling Gloves- BC-0118,"",Besu Customs,Sporting Goods > Outdoor Recreation > Cycling > Cycling Apparel & Accessories > Bicycle Gloves,Cycling Gloves,Gloves,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_cyc_glv_007.jpg?v=1754925589,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
cycling-gloves-bc-0117,Cycling Gloves- BC-0117,"",Besu Customs,Sporting Goods > Outdoor Recreation > Cycling > Cycling Apparel & Accessories > Bicycle Gloves,Cycling Gloves,Gloves,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_cyc_glv_006.jpg?v=1754925148,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
cycling-gloves-bc-0116,Cycling Gloves- BC-0116,"",Besu Customs,Sporting Goods > Outdoor Recreation > Cycling > Cycling Apparel & Accessories > Bicycle Gloves,Cycling Gloves,Gloves,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_cyc_glv_005.jpg?v=1754924741,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
cycling-gloves-product-code-bc-0115,Cycling Gloves- BC-0115,"",Besu Customs,Sporting Goods > Outdoor Recreation > Cycling > Cycling Apparel & Accessories > Bicycle Gloves,Cycling Gloves,Gloves,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_cyc_glv_004.jpg?v=1753824877,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
cycling-gloves-bc-0114,Cycling Gloves- BC-0114,"",Besu Customs,Sporting Goods > Outdoor Recreation > Cycling > Cycling Apparel & Accessories > Bicycle Gloves,Cycling Gloves,Gloves,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_cyc_glv_003.jpg?v=1753772864,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
cycling-gloves-bc-0113,Cycling Gloves- BC-0113,"",Besu Customs,Sporting Goods > Outdoor Recreation > Cycling > Cycling Apparel & Accessories > Bicycle Gloves,Cycling Gloves,Gloves,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_cyc_glv_002.jpg?v=1753772559,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
cycling-gloves-bc-0112,Cycling Gloves- BC-0112,"",Besu Customs,Sporting Goods > Outdoor Recreation > Cycling > Cycling Apparel & Accessories > Bicycle Gloves,Cycling Gloves,Gloves,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_cyc_glv_001.jpg?v=1753772316,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
weight-lifting-gloves-bc-0683,Weight Lifting Gloves- BC-0683,"",Besu Customs,Sporting Goods > Fitness & General Exercise Equipment > Weight Lifting > Weight Lifting Gloves & Hand Supports,Weight Lifting Gloves,Boxing Gear,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_weight_lift_glv_009.jpg?v=1753771982,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
weight-lifting-gloves-bc-0682,Weight Lifting Gloves- BC-0682,"",Besu Customs,Sporting Goods > Fitness & General Exercise Equipment > Weight Lifting > Weight Lifting Gloves & Hand Supports,Weight Lifting Gloves,Boxing Gear,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_weight_lift_glv_008.jpg?v=1752956225,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
weight-lifting-gloves-bc-0681,Weight Lifting Gloves- BC-0681,"",Besu Customs,Sporting Goods > Fitness & General Exercise Equipment > Weight Lifting > Weight Lifting Gloves & Hand Supports,Weight Lifting Gloves,Boxing Gear,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_weight_lift_glv_007.jpg?v=1752955442,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
weight-lifting-gloves-bc-0680,Weight Lifting Gloves- BC-0680,"",Besu Customs,Sporting Goods > Fitness & General Exercise Equipment > Weight Lifting > Weight Lifting Gloves & Hand Supports,Weight Lifting Gloves,Boxing Gear,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_weight_lift_glv_006.jpg?v=1752871831,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
weight-lifting-gloves-bc-0679,Weight Lifting Gloves- BC-0679,"",Besu Customs,Sporting Goods > Fitness & General Exercise Equipment > Weight Lifting > Weight Lifting Gloves & Hand Supports,Weight Lifting Gloves,Boxing Gear,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_weight_lift_glv_005.jpg?v=1752869245,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
weight-lifting-gloves-bc-0678,Weight Lifting Gloves- BC-0678,"",Besu Customs,Sporting Goods > Fitness & General Exercise Equipment > Weight Lifting > Weight Lifting Gloves & Hand Supports,Weight Lifting Gloves,Boxing Gear,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_weight_lift_glv_004.jpg?v=1752868997,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
weight-lifting-gloves-bc-0677,Weight Lifting Gloves- BC-0677,"",Besu Customs,Sporting Goods > Fitness & General Exercise Equipment > Weight Lifting > Weight Lifting Gloves & Hand Supports,Weight Lifting Gloves,Boxing Gear,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_weight_lift_glv_003.jpg?v=1752868549,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
weight-lifting-gloves-bc-0676,Weight Lifting Gloves- BC-0676,"",Besu Customs,Sporting Goods > Fitness & General Exercise Equipment > Weight Lifting > Weight Lifting Gloves & Hand Supports,Weight Lifting Gloves,Boxing Gear,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_weight_lift_glv_002.jpg?v=1752868072,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
weight-lifting-gloves-bc-0675,Weight Lifting Gloves- BC-0675,"",Besu Customs,Sporting Goods > Fitness & General Exercise Equipment > Weight Lifting > Weight Lifting Gloves & Hand Supports,Weight Lifting Gloves,Boxing Gear,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_weight_lift_glv_001.jpg?v=1752860919,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
weight-lifting-belt-bc-0674,Weight Lifting Belt- BC-0674,"",Besu Customs,Uncategorized,Weight Lifting Belt,Boxing Gear,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_weight_lift_belt_0010.jpg?v=1752860290,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
weight-lifting-belt-bc-0673,Weight Lifting Belt- BC-0673,"",Besu Customs,Sporting Goods > Fitness & General Exercise Equipment > Weight Lifting > Weight Lifting Belts,Weight Lifting Belt,Boxing Gear,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_weight_lift_belt_009.jpg?v=1752860019,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
weight-lifting-belt-bc-0672,Weight Lifting Belt- BC-0672,"",Besu Customs,Sporting Goods > Fitness & General Exercise Equipment > Weight Lifting > Weight Lifting Belts,Weight Lifting Belt,Boxing Gear,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_weight_lift_belt_008.jpg?v=1752859759,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
weight-lifting-belt-bc-0671,Weight Lifting Belt- BC-0671,"",Besu Customs,Sporting Goods > Fitness & General Exercise Equipment > Weight Lifting > Weight Lifting Belts,Weight Lifting Belt,Boxing Gear,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_weight_lift_belt_007.jpg?v=1752859448,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
weight-lifting-belt-bc-0670,Weight Lifting Belt- BC-0670,"",Besu Customs,Sporting Goods > Fitness & General Exercise Equipment > Weight Lifting > Weight Lifting Belts,Weight Lifting Belt,Boxing Gear,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_weight_lift_belt_006.jpg?v=1752858149,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
weight-lifting-belt-bc-0669,Weight Lifting Belt- BC-0669,"",Besu Customs,Sporting Goods > Fitness & General Exercise Equipment > Weight Lifting > Weight Lifting Belts,Weight Lifting Belt,Boxing Gear,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_weight_lift_belt_005.jpg?v=1752857493,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
weight-lifting-belt-bc-0668,Weight Lifting Belt- BC-0668,"",Besu Customs,Sporting Goods > Fitness & General Exercise Equipment > Weight Lifting > Weight Lifting Belts,Weight Lifting Belt,Boxing Gear,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_weight_lift_belt_004.jpg?v=1752856924,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
weight-lifting-belt-bc-0667,Weight Lifting Belt- BC-0667,"",Besu Customs,Sporting Goods > Fitness & General Exercise Equipment > Weight Lifting > Weight Lifting Belts,Weight Lifting Belt,bo,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_weight_lift_belt_003.jpg?v=1752620911,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
weight-lifting-belt-bc-0666,Weight Lifting Belt- BC-0666,"",Besu Customs,Sporting Goods > Fitness & General Exercise Equipment > Weight Lifting > Weight Lifting Belts,Weight Lifting Belt,Boxing Gear,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_weight_lift_belt_002.jpg?v=1752620381,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
weight-lifting-belt-bc-0665,Weight Lifting Belt- BC-0665,"",Besu Customs,Sporting Goods > Fitness & General Exercise Equipment > Weight Lifting > Weight Lifting Belts,Weight Lifting Belt,Boxing Gear,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_weight_lift_belt_001.jpg?v=1752473947,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
wind-breaker-bc-0711,Wind Breaker- BC-0711,"",Besu Customs,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets > Windbreakers,Wind Breaker,Coats,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_winder_breaker_006.png?v=1752473175,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
wind-breaker-bc-0710,Wind Breaker- BC-0710,"",Besu Customs,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets > Windbreakers,Wind Breaker,Coats,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_winder_breaker_005.jpg?v=1752473053,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
wind-breaker-bc-0709,Wind Breaker- BC-0709,"",Besu Customs,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets > Windbreakers,Wind Breaker,Coats,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_winder_breaker_004.jpg?v=1752472863,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
